Observing Strategy,zcomp,nsn,deltaN,deltaz
no_repeat_rpw-1.0_v2.1_10yrs,0.2803,100548.306,0.0523,0.0005
no_repeat_rpw-10.0_v2.1_10yrs,0.2768,104917.143,0.098,-0.003
no_repeat_rpw-100.0_v2.1_10yrs,0.2754,102801.034,0.0758,-0.0044
no_repeat_rpw-2.0_v2.1_10yrs,0.2787,102985.3227,0.0778,-0.0011
no_repeat_rpw-20.0_v2.1_10yrs,0.2759,103467.021,0.0828,-0.0039
no_repeat_rpw-5.0_v2.1_10yrs,0.2785,105085.6414,0.0997,-0.0013
pencil_fs1_v2.1_10yrs,0.2772,92938.5372,-0.0274,-0.0026
pencil_fs2_v2.1_10yrs,0.2786,94584.8518,-0.0101,-0.0012
plane_priority_priority0.1_pbf_v2.1_10yrs,0.2565,64248.4303,-0.3276,-0.0233
plane_priority_priority0.1_pbt_v2.1_10yrs,0.257,64686.3015,-0.323,-0.0228
plane_priority_priority0.2_pbf_v2.1_10yrs,0.2655,72086.3787,-0.2456,-0.0143
plane_priority_priority0.2_pbt_v2.1_10yrs,0.2651,72101.5527,-0.2454,-0.0147
plane_priority_priority0.3_pbf_v2.1_10yrs,0.2716,79617.6792,-0.1668,-0.0082
ddf_roll_slf0.20_v2.1_10yrs,0.2799,96186.616,0.0066,0.0001
ddf_season_length_slf0.10_v2.1_10yrs,0.2814,98210.6768,0.0278,0.0016
ddf_season_length_slf0.15_v2.1_10yrs,0.2797,98136.1379,0.027,-0.0001
ddf_season_length_slf0.20_v2.1_10yrs,0.281,98685.1451,0.0328,0.0012
ddf_season_length_slf0.25_v2.1_10yrs,0.2773,96249.9479,0.0073,-0.0025
ddf_season_length_slf0.30_v2.1_10yrs,0.2784,97081.0789,0.016,-0.0014
ddf_season_length_slf0.35_v2.1_10yrs,0.2774,95497.6284,-0.0006,-0.0024
good_seeing_gsw0.0_v2.1_10yrs,0.2771,91086.5707,-0.0468,-0.0027
good_seeing_gsw1.0_v2.1_10yrs,0.2784,93332.8808,-0.0233,-0.0014
good_seeing_gsw10.0_v2.1_10yrs,0.2818,95533.3405,-0.0002,0.002
good_seeing_gsw20.0_v2.1_10yrs,0.2814,94327.0192,-0.0128,0.0016
good_seeing_gsw3.0_v2.1_10yrs,0.2798,95554.7266,0.0,0.0
good_seeing_gsw50.0_v2.1_10yrs,0.2813,94825.8747,-0.0076,0.0015
good_seeing_gsw6.0_v2.1_10yrs,0.2831,95708.1921,0.0016,0.0033
good_seeing_u_gsw0.0_v2.1_10yrs,0.277,90938.5224,-0.0483,-0.0028
good_seeing_u_gsw1.0_v2.1_10yrs,0.2793,93758.9957,-0.0188,-0.0005
good_seeing_u_gsw10.0_v2.1_10yrs,0.2806,94936.3083,-0.0065,0.0008
good_seeing_u_gsw20.0_v2.1_10yrs,0.2792,93022.0277,-0.0265,-0.0006
plane_priority_priority0.3_pbt_v2.1_10yrs,0.2719,80548.2363,-0.157,-0.0079
plane_priority_priority0.4_pbf_v2.1_10yrs,0.275,83817.6545,-0.1228,-0.0048
plane_priority_priority0.4_pbt_v2.1_10yrs,0.2749,83728.6408,-0.1238,-0.0049
plane_priority_priority0.6_pbf_v2.1_10yrs,0.2781,92609.5665,-0.0308,-0.0017
plane_priority_priority0.6_pbt_v2.1_10yrs,0.2782,92481.8588,-0.0322,-0.0016
plane_priority_priority0.9_pbf_v2.1_10yrs,0.2789,95702.5611,0.0015,-0.0009
plane_priority_priority0.9_pbt_v2.1_10yrs,0.2794,94164.1223,-0.0146,-0.0004
plane_priority_priority1.2_pbf_v2.1_10yrs,0.2791,95848.9108,0.0031,-0.0007
plane_priority_priority1.2_pbt_v2.1_10yrs,0.2791,95848.9108,0.0031,-0.0007
shave_20_v2.1_10yrs,0.2607,100952.4816,0.0565,-0.0191
shave_22_v2.1_10yrs,0.2661,99338.6563,0.0396,-0.0137
shave_25_v2.1_10yrs,0.2726,98854.2298,0.0345,-0.0072
shave_28_v2.1_10yrs,0.2774,97738.2752,0.0229,-0.0024
shave_30_v2.1_10yrs,0.2811,95808.0599,0.0027,0.0013
shave_32_v2.1_10yrs,0.2846,93863.9248,-0.0177,0.0048
shave_35_v2.1_10yrs,0.2878,88808.383,-0.0706,0.008
shave_38_v2.1_10yrs,0.2926,85524.1274,-0.105,0.0128
shave_40_v2.1_10yrs,0.2953,82785.916,-0.1336,0.0155
