name l b n16 n50 n84 f16 f50 f84 m16 m50 m84 d16 d50 d84 p16 p50 p84 sfore16 sfore50 sfore84 sback16 sback50 sback84 New_Sightline? x y z
Ophiuchus_North 4.2 18.2 0.661 0.6663 0.6716 0.4803 0.485 0.489 5.8315 5.9053 5.9512 146 151 154 0.0459 0.0562 0.0676 0.0615 0.0852 0.1084 0.0416 0.0443 0.047 1 143 10 47
Ophiuchus_North 6.5 20.4 0.7169 0.7266 0.7356 0.3741 0.3805 0.3855 5.4506 5.6461 5.7977 123 134 144 0.0408 0.0503 0.0613 0.0497 0.0625 0.0783 0.0455 0.0482 0.0511 1 124 14 46
Orion 206.4 -15.4 0.5983 0.605 0.6115 0.1592 0.2024 0.2483 8.0736 8.1839 8.3158 411 433 460 0.0366 0.0483 0.0626 0.0229 0.0276 0.0334 0.0988 0.1057 0.1132 1 -373 -185 -114
Orion 209.0 -20.1 0.7073 0.7179 0.7287 0.2523 0.2596 0.2652 7.9257 7.9781 8.0352 384 394 404 0.0233 0.0303 0.0396 0.0292 0.0351 0.042 0.0957 0.101 0.1066 0 -323 -179 -135
Orion 209.1 -19.9 0.7401 0.7522 0.7651 0.2088 0.3455 0.3603 8.1469 8.2427 8.3619 425 445 470 0.0236 0.0304 0.039 0.0354 0.0435 0.0518 0.0819 0.0886 0.0964 0 -365 -203 -151
Orion 212.2 -18.6 0.6855 0.6905 0.6952 0.2265 0.2289 0.231 8.3488 8.378 8.4064 467 473 480 0.0233 0.0286 0.0353 0.0295 0.0345 0.0418 0.0514 0.0538 0.0564 0 -379 -238 -150
Orion 202.0 -13.3 0.6766 0.6802 0.684 0.1968 0.1984 0.2 8.3502 8.4115 8.4582 467 481 491 0.0171 0.0208 0.0251 0.0442 0.0508 0.0584 0.0452 0.0469 0.0486 0 -434 -175 -110
Orion 205.7 -14.8 0.6445 0.6491 0.6534 0.2186 0.2639 0.3117 8.0833 8.2018 8.3156 413 436 460 0.0268 0.0335 0.0418 0.0249 0.0296 0.0359 0.0745 0.0781 0.0818 1 -379 -182 -111
Orion 212.4 -19.9 0.6154 0.6223 0.6291 0.2608 0.2678 0.2727 8.0055 8.092 8.1432 399 415 425 0.0307 0.0393 0.0497 0.0242 0.0291 0.0352 0.0835 0.0877 0.0929 0 -329 -209 -141
Orion 208.4 -19.6 0.6637 0.674 0.6847 0.1298 0.1752 0.2591 7.9667 8.0079 8.0828 392 399 413 0.0421 0.0536 0.0677 0.0231 0.0276 0.0327 0.0917 0.0979 0.1047 0 -330 -178 -133
Orion 207.9 -16.8 0.7397 0.7448 0.7502 0.2244 0.2271 0.2294 7.9973 8.07 8.1188 397 411 420 0.0217 0.027 0.0326 0.0247 0.0289 0.034 0.0622 0.0649 0.0676 0 -347 -184 -118
Orion 214.7 -19.0 0.6879 0.6938 0.6996 0.2676 0.2709 0.2741 8.0668 8.096 8.1191 410 416 420 0.0225 0.0283 0.0358 0.0328 0.0392 0.0462 0.0626 0.066 0.0694 0 -323 -223 -135
Orion 209.8 -19.5 0.4242 0.4389 0.4527 0.146 0.1837 0.2313 8.0697 8.2075 8.2849 411 438 453 0.0368 0.0444 0.0558 0.0197 0.0236 0.0281 0.1216 0.1331 0.1461 0 -358 -205 -146
Orion 202.0 -14.0 0.6551 0.6598 0.6643 0.1333 0.1348 0.1362 7.9979 8.0063 8.0305 397 399 403 0.0168 0.0201 0.0239 0.0286 0.0337 0.0404 0.0425 0.044 0.0456 0 -358 -145 -96
Orion 204.7 -19.2 0.6478 0.6584 0.6695 0.0472 0.0486 0.0499 8.0127 8.1094 8.1845 400 418 433 0.0143 0.0173 0.0208 0.051 0.0633 0.0749 0.0257 0.0271 0.0287 0 -358 -164 -137
Orion 207.4 -16.0 0.6415 0.6466 0.6519 0.2069 0.258 0.3135 8.261 8.2743 8.3107 448 451 459 0.0255 0.032 0.04 0.0269 0.032 0.0387 0.0712 0.0745 0.0778 1 -384 -199 -124
Orion 204.8 -13.3 0.6659 0.6698 0.6736 0.1761 0.2183 0.2629 8.069 8.0913 8.1147 410 415 419 0.0169 0.0209 0.0257 0.0237 0.0284 0.0347 0.0612 0.0635 0.0658 1 -366 -169 -95
Orion 212.4 -17.3 0.6937 0.6997 0.7055 0.1472 0.149 0.1508 8.3533 8.5907 8.6718 468 522 542 0.0133 0.0164 0.0195 0.065 0.0789 0.0897 0.0409 0.0425 0.0443 0 -420 -267 -155
Orion 201.3 -13.8 0.65 0.6545 0.6589 0.1167 0.1179 0.1191 8.0672 8.1172 8.1511 410 420 426 0.0138 0.0164 0.0195 0.0337 0.0424 0.0519 0.0324 0.0336 0.0349 0 -380 -148 -100
Orion_Lam 192.3 -8.9 0.7208 0.7239 0.7272 0.1862 0.1874 0.1886 7.9522 8.0453 8.1279 389 406 422 0.0147 0.0176 0.0211 0.0317 0.0374 0.0464 0.0403 0.0415 0.0427 0 -391 -85 -62
Orion_Lam 196.7 -16.1 0.6241 0.629 0.6344 0.1717 0.174 0.1763 8.114 8.1497 8.1996 419 426 436 0.0332 0.0399 0.0466 0.0206 0.0244 0.0286 0.0569 0.0591 0.0613 0 -392 -117 -118
Orion_Lam 195.5 -13.7 0.6468 0.6522 0.6571 0.0838 0.0849 0.0858 7.9411 8.0065 8.0833 387 399 413 0.0123 0.0148 0.0175 0.0347 0.0405 0.0474 0.0292 0.0303 0.0314 0 -373 -103 -94
Orion_Lam 199.6 -11.9 0.7385 0.7422 0.7454 0.2617 0.3149 0.3173 7.9501 7.9741 8.0201 389 393 401 0.0192 0.0234 0.0286 0.0298 0.0357 0.0427 0.0569 0.0589 0.0611 0 -362 -128 -81
Orion_Lam 194.8 -12.1 0.7542 0.7607 0.7674 0.0995 0.101 0.1023 8.0992 8.135 8.1934 416 423 435 0.0139 0.0166 0.0197 0.0438 0.0519 0.0625 0.0335 0.0348 0.0363 0 -399 -105 -88
Orion_Lam 194.7 -10.1 0.6796 0.6837 0.6878 0.1258 0.1269 0.128 8.1199 8.1457 8.2681 420 425 450 0.0131 0.0155 0.0183 0.0186 0.022 0.0259 0.0411 0.0423 0.0435 0 -404 -106 -74
Orion_Lam 196.9 -8.2 0.6768 0.6802 0.6838 0.1571 0.1584 0.1595 7.9355 7.9804 8.0519 386 394 407 0.0122 0.0143 0.0167 0.0203 0.0242 0.0296 0.0473 0.0485 0.0497 0 -373 -113 -56
Pegasus 104.2 -31.7 0.7874 0.802 0.8167 0.0696 0.0742 0.0763 7.1902 7.3303 7.4411 274 292 307 0.0147 0.0183 0.0228 0.0286 0.035 0.043 0.0326 0.0347 0.0367 0 -60 240 -153
Pegasus 88.8 -41.3 0.6321 0.6449 0.6581 0.0944 0.1062 0.1097 6.8008 6.8837 6.979 229 238 248 0.0177 0.0225 0.0284 0.0365 0.0473 0.0621 0.054 0.0574 0.0608 0 3 178 -157
Pegasus 92.2 -34.7 0.6224 0.6335 0.6437 0.0851 0.0891 0.0916 6.0104 7.0612 7.3111 159 258 289 0.0184 0.0231 0.0288 0.04 0.0538 0.068 0.0324 0.0348 0.0377 0 -8 211 -146
Pegasus 95.3 -35.7 0.7604 0.7742 0.7877 0.0879 0.092 0.0943 6.9265 7.0552 7.2077 242 257 276 0.017 0.0211 0.0264 0.0362 0.0448 0.0552 0.0351 0.0376 0.0403 0 -19 207 -149
Pegasus 105.6 -30.6 0.7733 0.7866 0.8004 0.0709 0.0746 0.0766 6.9148 7.0469 7.1708 241 256 271 0.015 0.0184 0.0223 0.0247 0.0312 0.0395 0.0298 0.0318 0.0337 0 -59 212 -130
Perseus 159.9 -18.1 0.753 0.757 0.7614 0.2395 0.2417 0.2437 7.2754 7.4241 7.5253 285 305 319 0.0277 0.0333 0.04 0.0384 0.0456 0.0549 0.0373 0.0395 0.0414 0 -272 99 -94
Perseus 158.6 -19.9 0.6514 0.6577 0.6644 0.2372 0.2411 0.2448 7.2785 7.3262 7.4343 285 291 306 0.0263 0.0338 0.0419 0.0318 0.0392 0.0489 0.074 0.0773 0.0807 0 -254 99 -99
Perseus 158.5 -22.1 0.5896 0.5985 0.6074 0.1374 0.141 0.1444 6.8171 6.9283 7.0378 230 243 255 0.0324 0.0411 0.0506 0.0369 0.0451 0.0571 0.0679 0.0722 0.0769 0 -209 82 -91
Perseus 159.3 -20.6 0.5334 0.5415 0.5489 0.1909 0.1961 0.2006 7.1418 7.2113 7.3044 268 276 288 0.0391 0.0484 0.0609 0.0346 0.0428 0.0548 0.0807 0.086 0.0916 0 -241 91 -97
Perseus 159.7 -19.7 0.4883 0.4966 0.5049 0.27 0.2783 0.2862 7.5438 7.7028 7.8382 322 347 369 0.0257 0.0332 0.0423 0.0408 0.0493 0.0612 0.1158 0.1233 0.1314 0 -306 113 -116
Perseus 159.9 -18.9 0.6226 0.63 0.6371 0.2301 0.2349 0.2389 7.1263 7.2314 7.3693 266 279 297 0.0224 0.0284 0.0363 0.0385 0.0462 0.0556 0.0793 0.0838 0.0884 0 -247 90 -90
Perseus 159.4 -21.3 0.5801 0.5877 0.5952 0.1183 0.1219 0.1245 6.0846 6.8531 7.183 164 234 273 0.0218 0.0269 0.0328 0.0405 0.0546 0.0687 0.0595 0.0623 0.065 0 -204 76 -85
Perseus 157.8 -22.8 0.6499 0.6562 0.6623 0.2016 0.2057 0.2086 7.0555 7.1091 7.1984 257 264 275 0.0179 0.0225 0.0285 0.0433 0.055 0.0683 0.0504 0.0532 0.0559 0 -225 91 -102
Perseus 160.8 -17.0 0.6558 0.6608 0.6656 0.1324 0.1341 0.1355 7.1738 7.2121 7.2596 272 276 283 0.0222 0.0267 0.0319 0.0896 0.1023 0.1173 0.0502 0.0523 0.0545 0 -249 86 -80
Perseus 160.8 -18.7 0.8071 0.8113 0.8152 0.2939 0.2964 0.2984 7.1573 7.2802 7.4121 270 285 303 0.0173 0.021 0.0258 0.0771 0.0894 0.105 0.0354 0.0374 0.0395 0 -254 88 -91
Perseus 159.1 -21.1 0.5161 0.5226 0.5289 0.177 0.1814 0.1851 7.2161 7.3222 7.4322 277 291 306 0.0254 0.0319 0.0394 0.0396 0.0495 0.0619 0.0825 0.0873 0.0921 0 -253 96 -104
Perseus 157.7 -21.4 0.6176 0.6236 0.6292 0.1736 0.1772 0.1798 6.7977 6.908 7.0017 228 240 251 0.0244 0.0302 0.037 0.0451 0.0621 0.0819 0.0493 0.0521 0.0549 0 -206 84 -87
Perseus 158.2 -20.9 0.5464 0.5542 0.5616 0.18 0.1847 0.1887 7.2311 7.2968 7.3556 279 287 295 0.0366 0.045 0.0557 0.0412 0.0502 0.0609 0.0759 0.0801 0.0843 0 -248 99 -102
Perseus 157.5 -17.9 0.7632 0.7685 0.7739 0.147 0.1489 0.1504 7.2305 7.296 7.3527 279 287 295 0.0135 0.0165 0.0199 0.0477 0.0568 0.0692 0.0287 0.0302 0.0317 0 -252 104 -88
Perseus 160.4 -17.2 0.679 0.6843 0.6889 0.2724 0.2757 0.2784 7.1477 7.2678 7.374 268 284 298 0.0296 0.0374 0.0451 0.066 0.0765 0.0883 0.0628 0.0663 0.0696 0 -255 91 -83
Perseus 160.0 -17.6 0.6916 0.696 0.7009 0.2577 0.2602 0.2629 7.5344 7.6015 7.7007 321 331 346 0.0272 0.0336 0.0413 0.0632 0.0742 0.0873 0.0593 0.0621 0.065 0 -296 107 -100
Perseus 160.4 -16.7 0.4913 0.4982 0.5047 0.1445 0.1485 0.1519 6.6322 7.0422 7.2147 212 256 277 0.041 0.0503 0.0617 0.0508 0.0624 0.0757 0.0827 0.0868 0.0911 0 -230 82 -73
Perseus 160.7 -16.3 0.6709 0.6765 0.6821 0.1427 0.1445 0.1462 7.3079 7.3628 7.4288 289 296 306 0.0173 0.0209 0.0252 0.0576 0.0671 0.0786 0.053 0.055 0.0571 0 -268 93 -83
Pipe_B59 356.9 7.3 0.5593 0.5652 0.5713 0.1801 0.2233 0.2722 6.202 6.2764 6.3449 173 180 185 0.035 0.0455 0.0587 0.0244 0.0294 0.0363 0.1045 0.1092 0.1139 1 178 -9 22
Polaris 123.5 37.9 1.0277 1.0884 1.1402 0.0539 0.0648 0.0693 8.1912 8.3721 8.5261 434 472 507 0.0191 0.0244 0.0316 0.0283 0.0353 0.044 0.0238 0.0276 0.032 0 -205 310 289
Polaris 129.5 17.3 0.6881 0.6956 0.7031 0.1037 0.1056 0.1073 7.5459 7.665 7.7879 322 341 361 0.0131 0.0161 0.0194 0.0519 0.0625 0.0732 0.0406 0.0422 0.0438 0 -207 251 101
Polaris 126.3 21.2 0.7154 0.7257 0.7354 0.1031 0.1055 0.1074 7.613 7.6795 7.716 333 343 349 0.0149 0.0183 0.0219 0.0285 0.0349 0.0432 0.0406 0.0427 0.0449 0 -189 257 124
RCW38 268.0 -1.2 0.5754 0.578 0.5805 1.0726 1.0776 1.0825 10.991 11.0141 11.075 1578 1595 1640 0.2076 0.2259 0.2431 0.1343 0.1408 0.1482 0.0751 0.0778 0.0809 1 -55 -1593 -33
RCW38 267.7 -1.2 0.5701 0.5724 0.5747 1.0598 1.0642 1.0685 11.0554 11.0876 11.11 1625 1650 1667 0.1295 0.144 0.1594 0.1449 0.1514 0.1588 0.0809 0.0834 0.0862 1 -66 -1648 -34
Rosette 205.2 -2.6 0.4958 0.4978 0.4997 0.2408 0.2425 0.2441 10.7415 10.7516 10.7602 1407 1413 1419 0.021 0.0247 0.0291 0.0678 0.0711 0.0745 0.0762 0.0779 0.0795 0 -1277 -601 -64
Rosette 206.8 -1.2 0.5387 0.5415 0.5442 0.2645 0.2667 0.2688 10.6377 10.6624 10.6727 1341 1356 1363 0.0295 0.035 0.0409 0.0676 0.0717 0.0759 0.105 0.1073 0.1095 0 -1210 -611 -28
Rosette 207.8 -2.1 0.4518 0.4548 0.4579 0.3915 0.3962 0.4009 10.4824 10.5044 10.538 1248 1261 1281 0.151 0.1706 0.1926 0.0492 0.0529 0.0569 0.0932 0.0977 0.1031 0 -1114 -587 -46
S106 76.0 -0.7 0.3014 0.3046 0.3079 0.9592 0.9697 0.9806 10.151 10.1906 10.234 1072 1091 1113 0.2135 0.2383 0.2628 0.0961 0.1003 0.1056 0.1873 0.1907 0.1945 1 263 1058 -13
Serpens 29.6 3.9 0.6864 0.6892 0.6918 0.7345 0.7903 0.8503 8.4634 8.5009 8.5465 492 501 512 0.0355 0.0445 0.0548 0.0498 0.0563 0.0645 0.0922 0.0952 0.0982 1 434 246 34
Serpens 29.2 4.1 0.5814 0.5856 0.59 0.9488 0.9984 1.046 8.634 8.7287 8.7953 533 556 574 0.0496 0.0649 0.0824 0.0429 0.0502 0.0574 0.1128 0.1191 0.126 1 484 270 39
Serpens 28.5 3.0 0.5287 0.5364 0.5445 1.3827 1.5135 1.776 8.3914 8.4489 8.5312 476 489 508 0.0353 0.0479 0.0643 0.0873 0.1024 0.1183 0.1342 0.1441 0.1561 1 429 233 25
Serpens 28.1 3.6 0.5153 0.5232 0.5311 1.7006 1.743 1.7723 8.0957 8.214 8.278 416 439 452 0.033 0.0438 0.0595 0.1098 0.1272 0.1468 0.1546 0.1665 0.1798 1 386 206 27
Serpens_Low 31.8 2.6 0.6009 0.6047 0.6087 0.4693 0.6145 0.733 8.4031 8.4693 8.5446 479 494 511 0.0618 0.0816 0.1067 0.0484 0.0722 0.0857 0.1445 0.1492 0.1546 1 419 260 22
Serpens_Low 30.1 2.7 0.4518 0.4555 0.4596 0.5589 0.6086 0.6604 8.2586 8.3456 8.3907 448 466 476 0.072 0.0923 0.1184 0.0319 0.0382 0.0467 0.1521 0.1582 0.1646 1 402 233 21
Serpens_Low 31.9 3.0 0.4428 0.4548 0.4666 0.5611 0.6181 0.6777 8.3836 8.4394 8.5183 475 487 505 0.0486 0.0651 0.0858 0.0493 0.0565 0.0635 0.1512 0.1676 0.1862 1 412 256 25
Serpens_Low 32.9 2.7 0.6178 0.6214 0.6247 0.7039 0.7702 0.8402 8.5498 8.6055 8.6644 512 526 540 0.0643 0.0812 0.1001 0.0707 0.0788 0.0883 0.1266 0.1311 0.1362 1 441 285 24
Serpens_Main 30.3 5.2 0.7094 0.7123 0.715 1.0551 1.1397 1.1448 8.4029 8.453 8.5145 479 490 504 0.0532 0.0637 0.0752 0.076 0.0859 0.0968 0.0853 0.0878 0.0905 1 421 246 44
Serpens_Main 31.2 5.2 0.6485 0.6538 0.6585 0.8033 0.8606 0.9214 8.06 8.143 8.2066 409 425 437 0.0971 0.1239 0.1559 0.044 0.055 0.0673 0.101 0.1068 0.1139 1 362 219 38
Serpens_OB2 18.8 1.2 0.5231 0.5267 0.5303 0.9382 0.9447 0.9513 10.9398 10.9791 11.097 1541 1569 1657 0.0423 0.0531 0.0667 0.0992 0.1083 0.1197 0.1502 0.1536 0.1571 1 1484 505 32
Serpens_OB2 18.0 1.6 0.595 0.5982 0.6012 1.1599 1.1661 1.172 10.9605 10.9892 11.0148 1556 1577 1595 0.1133 0.1331 0.1517 0.0888 0.0955 0.1032 0.1231 0.1263 0.1299 1 1499 487 44
Serpens_OB2 18.4 1.3 0.5671 0.5704 0.5738 0.997 1.0029 1.0089 11.0158 11.0358 11.0667 1596 1611 1634 0.0573 0.0712 0.0861 0.0769 0.0831 0.0907 0.1378 0.141 0.1448 1 1528 508 36
Serpens_W40 28.8 3.5 0.4 0.4204 0.4369 1.122 1.2175 1.3059 8.337 8.4419 8.5551 464 487 514 0.0374 0.0496 0.0658 0.0777 0.0884 0.1005 0.0798 0.1053 0.1344 1 425 234 29
Sh2-231 173.0 2.4 0.4191 0.423 0.4265 0.8388 0.8555 0.872 11.0054 11.0435 11.0581 1588 1616 1627 0.0569 0.0673 0.0786 0.05 0.0522 0.0544 0.1149 0.1196 0.125 1 -1602 196 67
Sh2-232 173.5 2.9 0.5158 0.5203 0.5245 1.0015 1.0171 1.0333 11.1464 11.169 11.1924 1695 1713 1731 0.2317 0.2527 0.2714 0.0445 0.047 0.05 0.0519 0.0571 0.0647 1 -1699 193 86
Spider 134.8 40.5 0.9311 0.9598 0.9907 0.0746 0.0789 0.0824 7.705 7.8385 7.9492 347 369 388 0.0168 0.0209 0.0257 0.0214 0.0264 0.0321 0.0361 0.0393 0.0426 0 -197 199 239
Taurus 173.5 -14.2 0.5427 0.5492 0.5555 0.2321 0.252 0.2572 5.611 5.8503 5.991 132 147 157 0.0441 0.0556 0.0706 0.0311 0.0408 0.0679 0.056 0.0614 0.0677 0 -141 16 -36
Taurus 171.6 -15.8 0.5511 0.5583 0.566 0.1165 0.1533 0.1572 5.4493 5.5852 5.727 122 130 139 0.0397 0.0491 0.0605 0.0288 0.0368 0.0474 0.0485 0.0519 0.0555 0 -123 18 -35
Taurus 175.8 -12.9 0.5348 0.5438 0.5528 0.201 0.2085 0.2145 5.9401 5.9727 6.0162 154 156 159 0.022 0.0287 0.0369 0.0292 0.0357 0.0433 0.078 0.0829 0.0882 0 -151 11 -34
Taurus 172.2 -14.6 0.5429 0.5493 0.5557 0.2232 0.2279 0.2322 5.6615 5.6976 5.7597 135 137 141 0.0316 0.0402 0.0506 0.0291 0.0349 0.0431 0.0504 0.055 0.0598 0 -131 17 -34
Taurus 170.2 -12.3 0.6225 0.6291 0.6354 0.1605 0.1635 0.1659 6.0938 6.1611 6.2768 165 170 180 0.0202 0.0264 0.0347 0.0638 0.092 0.1304 0.0349 0.0377 0.0407 0 -163 28 -36
Taurus 174.5 -15.6 0.554 0.5596 0.5653 0.4304 0.4355 0.4403 5.9701 6.0121 6.0559 156 159 162 0.0376 0.0462 0.0565 0.0509 0.0597 0.0703 0.0528 0.0561 0.0594 1 -152 14 -42
Taurus 171.7 -17.2 0.6232 0.6287 0.6343 0.2953 0.2983 0.3011 5.8459 5.8676 5.8836 147 149 150 0.0508 0.0613 0.0729 0.0401 0.0498 0.0628 0.033 0.0351 0.0372 1 -140 20 -44
Taurus 166.2 -16.6 0.6028 0.6088 0.6145 0.12 0.1224 0.1243 5.6795 5.7003 5.7208 136 138 139 0.0188 0.0238 0.0298 0.0267 0.0328 0.0407 0.0315 0.0335 0.0355 0 -128 31 -39
Taurus 171.4 -13.5 0.5836 0.5909 0.5981 0.1568 0.1599 0.163 5.8991 5.9462 6.0045 151 154 158 0.0256 0.0323 0.0403 0.0331 0.0439 0.0586 0.0445 0.0477 0.0506 0 -148 22 -35
Taurus 169.9 -19.2 0.5621 0.5682 0.5743 0.0909 0.163 0.2773 5.5375 5.5675 5.6076 128 129 132 0.0281 0.0347 0.043 0.0249 0.0319 0.0416 0.0389 0.0411 0.0436 1 -119 21 -42
Ursa_Major 158.5 35.2 1.1077 1.1332 1.1594 0.0832 0.0878 0.0909 7.6488 7.7376 7.8019 338 352 363 0.0174 0.0211 0.026 0.023 0.0277 0.0338 0.0294 0.0322 0.0352 0 -267 105 202
Ursa_Major 143.4 38.5 0.8433 0.8634 0.8855 0.0993 0.1042 0.108 8.0343 8.0577 8.0994 404 408 416 0.019 0.0237 0.0302 0.0178 0.022 0.0271 0.0388 0.0423 0.0464 0 -256 190 253
Ursa_Major 146.9 40.7 0.6764 0.6997 0.7236 0.07 0.0771 0.0813 7.4628 7.5946 7.7124 310 330 348 0.0198 0.0252 0.0329 0.0288 0.0367 0.0481 0.0456 0.0493 0.0534 0 -209 136 215
Ursa_Major 153.5 36.7 0.8331 0.8538 0.8747 0.077 0.0945 0.0983 7.628 7.7349 7.8525 335 352 371 0.0191 0.0235 0.0293 0.0186 0.0231 0.0287 0.0384 0.0413 0.0444 0 -252 125 210
Vela_C 266.1 1.4 0.4336 0.4371 0.4406 0.288 0.3068 0.3261 9.6685 9.6889 9.7413 858 866 887 0.0865 0.1036 0.123 0.022 0.0245 0.0276 0.1729 0.1764 0.1804 1 -58 -863 21
Vela_C 265.3 1.2 0.395 0.3987 0.4025 0.2408 0.2523 0.2639 9.8675 9.8836 9.9015 940 947 955 0.1392 0.1607 0.1831 0.0183 0.0196 0.0211 0.1546 0.1604 0.1664 1 -77 -943 19
Vela_C 265.3 1.8 0.4954 0.4977 0.4999 0.2843 0.3021 0.3207 9.7017 9.7178 9.7326 871 878 884 0.0684 0.0777 0.0881 0.024 0.0263 0.0289 0.1043 0.107 0.1099 1 -71 -874 27
Vela_C 264.7 1.4 0.4932 0.4955 0.498 0.2019 0.2113 0.2211 9.8231 9.8457 9.8668 921 931 940 0.1273 0.1401 0.1541 0.0161 0.0173 0.0185 0.1179 0.121 0.1243 1 -85 -926 22
Vela_C 264.3 2.5 0.5092 0.5114 0.5137 0.2863 0.3011 0.317 9.9125 9.9243 9.9572 960 965 980 0.0773 0.0873 0.0982 0.0241 0.0262 0.0285 0.0912 0.0937 0.0964 1 -95 -959 42
W3 133.3 1.1 0.4892 0.4927 0.4961 1.0971 1.105 1.1128 11.3396 11.3638 11.3763 1853 1873 1884 0.1254 0.1424 0.1601 0.1068 0.1104 0.1147 0.0894 0.0929 0.0969 1 -1284 1362 35
W3 133.7 1.3 0.5686 0.5729 0.5773 1.4732 1.4847 1.4963 11.6688 11.6964 11.7159 2156 2184 2203 0.2362 0.2548 0.2734 0.0504 0.053 0.0563 0.0663 0.0715 0.0772 1 -1508 1578 49
W3 133.3 0.5 0.4611 0.4668 0.4728 1.1038 1.118 1.1324 11.0586 11.0998 11.1314 1628 1659 1683 0.2029 0.2347 0.2657 0.1352 0.1409 0.1472 0.1228 0.1287 0.1357 1 -1137 1207 14
W4 135.6 1.3 0.5398 0.5446 0.5487 0.6204 0.6261 0.6309 11.204 11.3072 11.3436 1740 1825 1856 0.0208 0.026 0.0324 0.1429 0.1491 0.1553 0.0812 0.0838 0.0867 1 -1303 1276 41
W4 135.3 1.0 0.4919 0.4956 0.4994 0.7379 0.7436 0.7494 11.0721 11.0839 11.1098 1638 1647 1667 0.0384 0.0477 0.0578 0.1267 0.1317 0.1373 0.1126 0.1158 0.1191 1 -1170 1158 28
W4 135.6 0.2 0.4894 0.493 0.4962 0.8151 0.8212 0.8266 10.7162 10.809 10.8282 1390 1451 1464 0.0191 0.0231 0.0288 0.1552 0.1628 0.1703 0.1266 0.129 0.1314 1 -1036 1015 5
W4 135.6 1.2 0.5495 0.5532 0.5565 0.6906 0.6952 0.6995 11.1878 11.2222 11.2702 1728 1755 1794 0.0199 0.0246 0.0301 0.135 0.1411 0.147 0.0817 0.084 0.0864 1 -1253 1227 36
W5 136.5 1.2 0.4421 0.4472 0.4524 1.2451 1.26 1.2749 11.4943 11.5338 11.5593 1990 2026 2050 0.1296 0.1458 0.1627 0.0594 0.0621 0.0648 0.1281 0.1341 0.141 1 -1469 1394 42
W5 137.0 1.4 0.4549 0.4588 0.4626 1.1528 1.1629 1.1729 11.5683 11.5875 11.6043 2059 2077 2093 0.126 0.1424 0.1581 0.0589 0.0617 0.0644 0.108 0.1129 0.1186 1 -1518 1416 50
W5 137.8 1.5 0.4626 0.4656 0.4687 0.7314 0.7363 0.7412 11.4334 11.4644 11.5003 1934 1962 1995 0.1276 0.1428 0.1586 0.1374 0.1431 0.1495 0.0779 0.0805 0.0835 1 -1452 1317 51
W5 138.0 0.9 0.4501 0.4533 0.4567 0.6536 0.6584 0.6634 11.1832 11.2018 11.2139 1724 1739 1748 0.0184 0.0227 0.0278 0.122 0.1271 0.1325 0.0949 0.0974 0.0998 1 -1292 1163 27
W5 136.9 1.0 0.4714 0.4758 0.4804 1.054 1.064 1.0745 11.599 11.6151 11.6285 2088 2103 2116 0.1357 0.1509 0.1651 0.07 0.0726 0.0753 0.1087 0.1135 0.1184 1 -1535 1436 36
