name l b n16 n50 n84 f16 f50 f84 m16 m50 m84 d16 d50 d84 p16 p50 p84 sfore16 sfore50 sfore84 sback16 sback50 sback84 New_Sightline? x y z
Cepheus 108.2 5.5 0.668 0.67 0.6721 0.3106 0.312 0.3133 9.7309 9.7504 9.7755 883 891 901 0.0288 0.0334 0.0381 0.1698 0.1785 0.1882 0.0759 0.0774 0.0789 0 -277 842 85
Cepheus 107.7 12.4 0.7204 0.7234 0.7263 0.2149 0.2161 0.2173 9.9066 9.9156 9.9298 957 961 968 0.0143 0.0172 0.0207 0.0702 0.074 0.0786 0.0407 0.042 0.0434 0 -285 894 206
Cepheus 115.3 17.6 0.6093 0.615 0.621 0.1571 0.1597 0.1622 7.7386 7.7719 7.81 352 358 364 0.0176 0.0214 0.0259 0.0188 0.0224 0.0267 0.0581 0.0604 0.0628 0 -145 308 108
Cepheus 112.8 20.8 0.5779 0.5871 0.5967 0.0965 0.0991 0.1016 7.7963 7.874 7.9339 362 375 386 0.0179 0.022 0.0267 0.0235 0.0287 0.0347 0.0667 0.0692 0.0718 0 -135 323 133
Cepheus 111.8 20.3 0.4862 0.496 0.5055 0.1801 0.1867 0.1926 7.7789 7.811 7.8466 359 364 370 0.036 0.0463 0.059 0.0353 0.044 0.0529 0.1026 0.1093 0.1167 0 -126 316 126
Cepheus 106.4 17.7 0.7142 0.7197 0.7252 0.1814 0.1838 0.1858 7.8561 7.8826 7.9108 372 377 382 0.0142 0.0176 0.0215 0.0298 0.0377 0.0485 0.0511 0.053 0.0551 0 -101 344 114
Cepheus 109.0 7.7 0.6632 0.665 0.6668 0.247 0.2479 0.2489 9.5208 9.5599 9.6235 801 816 840 0.0114 0.0136 0.016 0.153 0.1633 0.1738 0.0471 0.0482 0.0492 0 -263 764 109
Cepheus 112.8 16.5 0.6167 0.6233 0.6297 0.1737 0.1769 0.1797 7.6264 7.6856 7.7288 335 344 351 0.0352 0.0433 0.0526 0.0243 0.0306 0.0394 0.0733 0.0769 0.0807 0 -127 304 97
Cepheus 103.5 13.5 0.6545 0.6587 0.6628 0.2052 0.2071 0.2091 7.7533 7.7792 7.8083 355 359 364 0.0215 0.0258 0.0313 0.024 0.0282 0.0332 0.0649 0.0671 0.0691 0 -81 339 83
Cepheus 107.0 9.4 0.6215 0.6239 0.6263 0.1598 0.1607 0.1616 9.9509 9.9696 9.9913 977 986 995 0.0128 0.0151 0.0174 0.0773 0.0813 0.0857 0.0465 0.0476 0.0486 0 -284 930 161
Cepheus 110.7 12.6 0.7353 0.7383 0.7413 0.2313 0.2325 0.2338 9.9263 9.9765 9.9857 966 989 993 0.0174 0.0204 0.0244 0.1297 0.137 0.1444 0.0369 0.0383 0.0397 0 -341 902 215
Cepheus 108.4 18.6 0.7243 0.7302 0.7354 0.2002 0.2029 0.2051 7.4939 7.607 7.8011 315 332 363 0.0245 0.0305 0.0373 0.0335 0.0416 0.0519 0.052 0.0544 0.0568 0 -99 298 105
Cepheus 109.6 6.8 0.5748 0.5771 0.5793 0.392 0.3945 0.3968 9.6856 9.7261 9.761 865 881 895 0.0308 0.0379 0.0447 0.152 0.16 0.1695 0.0846 0.0871 0.0894 0 -293 824 104
Cepheus 108.3 12.4 0.7333 0.7364 0.7395 0.1869 0.188 0.1891 9.8 9.8077 9.8163 912 915 918 0.0136 0.0161 0.0192 0.0505 0.054 0.0578 0.0347 0.0359 0.0371 0 -280 848 196
Cepheus 105.9 13.8 0.7118 0.716 0.7204 0.1788 0.1803 0.1819 9.8651 9.8918 9.9059 939 951 957 0.0138 0.0165 0.0196 0.0866 0.0918 0.0973 0.0451 0.0468 0.0488 0 -253 888 226
Cepheus 116.1 20.2 0.5823 0.591 0.5995 0.1277 0.1314 0.1345 7.6692 7.7181 7.7685 341 349 357 0.0311 0.0397 0.0482 0.023 0.0286 0.0361 0.0679 0.071 0.0744 0 -144 294 120
Chamaeleon 303.3 -14.2 0.4534 0.4604 0.4674 0.2483 0.3669 0.3752 6.3526 6.394 6.4421 186 190 194 0.0263 0.0334 0.0429 0.0308 0.0375 0.0458 0.0672 0.0707 0.0744 1 101 -153 -46
Chamaeleon 297.5 -15.3 0.4558 0.4643 0.4727 0.277 0.5108 0.5285 6.4989 6.614 6.761 199 210 225 0.0232 0.0306 0.04 0.0406 0.0501 0.062 0.0747 0.0801 0.086 1 93 -179 -55
